Project Title,City,State,ZIP,Award,Location
Patchogue-Medford Union Free School District,Patchogue,NY,11772,u215x100282,"Patchogue, NY 11772
(40.77, -73)"
Santa Clara County Office of Education,San Jose,CA,95131,u215x100284,"San Jose, CA 95131
(37.39, -121.9)"
Montgomery Township School District,Skillman,NJ,8558,u215x100286,"Skillman, NJ 8558
(40.42, -74.7)"
Irving Independent School District,Irving,TX,75062,u215x100287,"Irving, TX 75062
(32.85, -96.97)"
Knox County Schools,Knoxville,TN,37902,u215x100288,"Knoxville, TN 37902
(35.96, -83.92)"
Cabarrus County School District,Concord,NC,28025,u215x100290,"Concord, NC 28025
(35.38, -80.53)"
Jefferson County Board of Education,Birmingham,AL,35209,u215x100292,"Birmingham, AL 35209
(33.46, -86.81)"
IND SCHOOL DIST 196,Rosemount,MN,55068,u215x100294,"Rosemount, MN 55068
(44.73, -93.07)"
Enterprise City Schools,Enterprise,AL,36330,u215x100295,"Enterprise, AL 36330
(31.31, -85.86)"
Educational Service Unit #8,Neligh,NE,68756,u215x100296,"Neligh, NE 68756
(42.18, -97.98)"
Lincoln Intermediate Unit No 12,New Oxford,PA,17350,u215x100298,"New Oxford, PA 17350
(39.89, -77.08)"
San Francisco Unified School District,San Francisco,CA,94121,u215x100301,"San Francisco, CA 94121
(37.78, -122.5)"
Marshall County Board of Education,Moundsville,WV,26003,u215x100302,"Moundsville, WV 26003
(40.06, -80.65)"
Maritime Academy Charter High School,Philadelphia,PA,19137,u215x100304,"Philadelphia, PA 19137
(40, -75.08)"
ALCORN SCHOOL DISTRICT,Corinth,MS,38835,u215x100305,"Corinth, MS 38835
(34.95, -88.51)"
Hoxie Public Schools #46,Hoxie,AR,72433,u215x100308,"Hoxie, AR 72433
(36.02, -91.04)"
Eastern University Academy Charter School,Philadelphia,PA,19129,u215x100309,"Philadelphia, PA 19129
(40.01, -75.18)"
Toms River Regional Schools,Toms River,NJ,8753,u215x100310,"Toms River, NJ 8753
(39.98, -74.16)"
Amite County School District,Liberty,MS,39645,u215x100311,"Liberty, MS 39645
(31.15, -90.79)"
Scottsdale Unified School District,Phoenix,AZ,85018,u215x100312,"Phoenix, AZ 85018
(33.5, -111.98)"
Educational Service Unit #17,Ainsworth,NE,69210,u215x100313,"Ainsworth, NE 69210
(42.37, -99.91)"
Cooperative Education Service Agency #11,Turtle Lake,WI,54889,u215x100314,"Turtle Lake, WI 54889
(45.41, -92.17)"
Jamestown Public Schools,Jamestown,NY,14701,u215x100315,"Jamestown, NY 14701
(42.08, -79.26)"
Morgan County Schools,decatur,AL,35601,u215x100317,"decatur, AL 35601
(34.6, -87.01)"
Area Education Agency 267,Cedar Falls,IA,50613,u215x100319,"Cedar Falls, IA 50613
(42.53, -92.49)"
Santa Cruz County Regional School District,Nogales,AZ,85621,u215x100320,"Nogales, AZ 85621
(31.42, -111.02)"
Del Norte Unified School District,Crescent City,CA,95531,u215x100321,"Crescent City, CA 95531
(41.67, -123.88)"
Public Schools of Robeson County,Lumberton,NC,28369,u215x100322,"Lumberton, NC 28369
(34.42, -79.03)"
Bourbon County Schools,Paris,KY,40361,u215x100323,"Paris, KY 40361
(38.21, -84.23)"
Kansas City Public Schools,Kansas City,KS,66102,u215x100324,"Kansas City, KS 66102
(39.11, -94.69)"
Ennis K-12 Schools,Ennis,MT,59729,u215x100325,"Ennis, MT 59729
(45.33, -111.71)"
Oneida-Herkimer Madison BOCES,New Hartford,NY,13413,u215x100326,"New Hartford, NY 13413
(43.06, -75.28)"
Green River Regional Educational Cooperative,Bowling Green,KY,42101,u215x100328,"Bowling Green, KY 42101
(37.06, -86.48)"
Edison Township Board of Education,Edison,NJ,8837,u215x100329,"Edison, NJ 8837
(40.51, -74.35)"
New York City Department of Education,New York,NY,10007,u215x100330,"New York, NY 10007
(40.71, -74.01)"
Indiana Area School District,Indiana,PA,15701,u215x100331,"Indiana, PA 15701
(40.63, -79.15)"
School Board of the County of Spotsylvania,Fredericksburg,VA,22407,u215x100332,"Fredericksburg, VA 22407
(38.29, -77.57)"
New Castle County Vocational School Dist,Wilmington,DE,19804,u215x100333,"Wilmington, DE 19804
(39.72, -75.62)"
Bay County School District,Panama City,FL,32401,u215x100335,"Panama City, FL 32401
(30.16, -85.65)"
Warrensburg R-VI School District,Warrensburg,MO,64093,u215x100336,"Warrensburg, MO 64093
(38.79, -93.73)"
Middletown Township Public Schools,Middletown,NJ,7748,u215x100337,"Middletown, NJ 7748
(40.39, -74.11)"
